created_at,Actual,Forecasted
2024-11-11 18:46:14+00:00,7.6,9.332
2024-11-11 18:57:29+00:00,8.95,9.332
2024-11-11 19:08:45+00:00,9.66,9.332
2024-11-11 19:20:00+00:00,10.72,9.332
2024-11-11 19:31:15+00:00,10.53,9.332
2024-11-11 19:42:31+00:00,11.89,9.332
2024-11-11 19:53:46+00:00,12.9,9.332
2024-11-11 20:05:01+00:00,12.52,9.332
2024-11-11 20:16:17+00:00,12.5,9.332
2024-11-11 20:27:32+00:00,12.9,9.332
2024-11-11 20:38:47+00:00,14.32,9.332
2024-11-11 20:50:03+00:00,12.37,9.332
2024-11-11 21:01:18+00:00,14.44,9.332
2024-11-11 21:12:33+00:00,16.07,9.332
2024-11-11 21:23:49+00:00,17.13,9.332
2024-11-11 21:35:04+00:00,19.41,9.332
2024-11-11 21:46:19+00:00,18.27,9.332
2024-11-11 21:57:35+00:00,18.04,9.332
2024-11-11 22:08:50+00:00,19.83,9.332
2024-11-11 22:20:05+00:00,19.835,9.332
2024-11-11 22:21:30+00:00,19.835,9.332
2024-11-11 22:32:46+00:00,17.72,9.332
2024-11-11 22:44:01+00:00,17.36,9.332
2024-11-11 22:55:16+00:00,18.76,9.332
2024-11-11 23:06:32+00:00,17.22,9.332
2024-11-11 23:17:47+00:00,18.03,9.332
2024-11-11 23:29:02+00:00,20.7,9.332
2024-11-11 23:40:17+00:00,17.54,9.332
2024-11-11 23:51:32+00:00,19.38,9.332
2024-11-12 00:02:48+00:00,17.2,9.332
2024-11-12 00:14:03+00:00,15.21,9.332
2024-11-12 00:25:18+00:00,15.06,9.332
2024-11-12 00:36:34+00:00,16.43,9.332
2024-11-12 00:47:49+00:00,16.58,9.332
2024-11-12 00:59:05+00:00,14.7,9.332
2024-11-12 01:10:22+00:00,15.2,9.332
2024-11-12 01:21:35+00:00,13.93,9.332
2024-11-12 01:32:51+00:00,13.09,9.332
2024-11-12 01:44:06+00:00,11.11,9.332
2024-11-12 01:55:21+00:00,11.68,9.332
2024-11-12 02:06:37+00:00,7.39,9.332
2024-11-12 02:17:52+00:00,10.96,9.332
2024-11-12 02:29:07+00:00,9.81,9.332
2024-11-12 02:40:23+00:00,10.15,9.332
2024-11-12 02:51:38+00:00,7.91,9.332
2024-11-12 03:02:53+00:00,8.68,9.332
2024-11-12 03:14:09+00:00,7.77,9.332
2024-11-12 03:25:24+00:00,6.53,9.332
2024-11-12 03:36:39+00:00,5.92,9.332
2024-11-12 03:47:55+00:00,5.28,9.332
2024-11-12 03:59:10+00:00,5.25,9.332
2024-11-12 04:10:26+00:00,5.39,9.332
2024-11-12 04:21:41+00:00,4.67,9.332
2024-11-12 04:32:56+00:00,5.45,9.332
2024-11-12 04:49:51+00:00,6.69,9.332
2024-11-12 05:01:06+00:00,5.68,9.332
2024-11-12 05:12:22+00:00,4.55,9.332
2024-11-12 05:23:37+00:00,5.61,9.332
2024-11-12 05:34:52+00:00,5.63,9.332
2024-11-12 05:46:08+00:00,5.71,9.332
2024-11-12 05:57:23+00:00,5.68,9.332
2024-11-12 06:08:38+00:00,5.32,9.332
2024-11-12 06:37:38+00:00,6.67,9.332
2024-11-12 06:51:34+00:00,5.87,9.332
2024-11-12 07:02:50+00:00,5.87,9.332
2024-11-12 07:14:05+00:00,5.63,9.332
2024-11-12 07:25:21+00:00,5.68,9.332
2024-11-12 08:20:15+00:00,5.4,9.332
2024-11-12 08:31:31+00:00,4.48,9.332
2024-11-12 08:42:46+00:00,5.47,9.332
2024-11-12 08:54:01+00:00,4.48,9.332
2024-11-12 09:05:17+00:00,4.82,9.332
2024-11-12 09:16:32+00:00,5.71,9.332
2024-11-12 09:27:48+00:00,5.11,9.332
2024-11-12 09:39:03+00:00,4.82,9.332
2024-11-12 09:50:18+00:00,5.06,9.332
2024-11-12 10:01:34+00:00,4.58,9.332
2024-11-12 10:12:49+00:00,5.11,9.332
2024-11-12 10:24:04+00:00,5.09,9.332
2024-11-12 10:35:20+00:00,5.04,9.332
2024-11-12 10:46:35+00:00,4.13,9.332
2024-11-12 11:03:23+00:00,5.4,9.332
2024-11-12 11:14:38+00:00,4.58,9.332
2024-11-12 11:34:01+00:00,5.08,9.332
2024-11-12 11:51:50+00:00,5.83,9.332
2024-11-12 12:03:05+00:00,4.46,9.332
2024-11-12 12:14:20+00:00,4.55,9.332
2024-11-12 12:25:36+00:00,4.37,9.332
2024-11-12 12:36:51+00:00,3.94,9.332
2024-11-12 12:48:06+00:00,4.01,9.332
2024-11-12 13:23:05+00:00,5.01,9.332
2024-11-12 13:44:44+00:00,5.27,9.332
2024-11-12 13:55:59+00:00,4.31,9.332
2024-11-12 14:07:14+00:00,4.01,9.332
2024-11-12 14:26:37+00:00,5.35,9.332
2024-11-12 14:37:52+00:00,3.52,9.332
2024-11-12 14:49:08+00:00,3.96,9.332
2024-11-12 15:00:23+00:00,4.37,9.332
2024-11-12 15:13:59+00:00,4.77,9.332
2024-11-12 15:25:15+00:00,4.32,9.332
2024-11-12 15:36:30+00:00,3.91,9.332
2024-11-12 15:47:45+00:00,4.37,9.332
2024-11-12 15:59:01+00:00,3.88,9.332
2024-11-12 16:10:16+00:00,4.49,9.332
2024-11-12 16:21:31+00:00,4.31,9.332
2024-11-12 16:32:47+00:00,3.91,9.332
2024-11-12 16:44:02+00:00,3.88,9.332
2024-11-12 17:06:29+00:00,5.16,9.332
2024-11-12 17:17:44+00:00,4.15,9.332
2024-11-12 17:29:00+00:00,4.31,9.332
2024-11-12 17:44:58+00:00,4.94,9.332
2024-11-12 17:56:13+00:00,4.19,9.332
2024-11-12 18:07:29+00:00,4.17,9.332
2024-11-12 18:18:44+00:00,3.81,9.332
2024-11-12 18:29:59+00:00,4.25,9.332
2024-11-12 18:41:15+00:00,4.15,9.332
2024-11-12 18:52:30+00:00,3.24,9.332
2024-11-12 19:01:47+00:00,5.16,9.332
2024-11-12 19:13:02+00:00,4.27,9.332
2024-11-12 19:24:17+00:00,3.77,9.332
2024-11-12 19:35:33+00:00,4.19,9.332
2024-11-12 19:46:48+00:00,3.34,9.332
2024-11-12 19:58:03+00:00,3.74,9.332
2024-11-12 20:09:19+00:00,3.86,9.332
2024-11-12 20:20:34+00:00,3.76,9.332
2024-11-12 20:31:49+00:00,3.67,9.332
2024-11-12 20:43:05+00:00,3.64,9.332
2024-11-12 20:58:49+00:00,4.29,9.332
2024-11-12 21:10:05+00:00,3.24,9.332
